--------- beginning of /dev/log/system
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.net.wifi.RSSI_CHANGED
W/StatusBarPolicy( 1835): Hardbg: action: android.intent.action.BATTERY_CHANGED
W/StatusBarPolicy( 1835): Hardbg: g_BatCap: 5620
